,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ancud,-41.8697,-73.8203,62.33,80,61,2.37,CL,1643067427
1,Aguazul,5.1728,-72.5471,82.13,50,79,1.87,CO,1643067429
2,Hobart,-42.8794,147.3294,69.53,84,75,0.45,AU,1643067431
3,Ushuaia,-54.8,-68.3,40.73,87,100,14.4,AR,1643067233
4,Rikitea,-23.1203,-134.9692,76.73,71,100,7.86,PF,1643067433
5,Clyde River,70.4692,-68.5914,-2.47,78,100,11.32,CA,1643067435
6,Valparaíso,-33.0393,-71.6273,74.93,47,0,6.17,CL,1643067204
7,Upernavik,72.7868,-56.1549,-13.27,86,86,4.02,GL,1643067438
8,Hamilton,39.1834,-84.5333,38.93,93,90,1.34,US,1643067432
9,Rome,43.2128,-75.4557,20.93,65,90,3.6,US,1643067441
10,Hoopstad,-27.8327,25.9083,69.53,40,2,1.77,ZA,1643067443
11,Mar del Plata,-38.0023,-57.5575,74.93,79,0,3.58,AR,1643067385
12,Mae Hong Son,19.3003,97.9685,55.13,73,2,0.61,TH,1643067446
13,Omsukchan,62.5333,155.8,-22.27,96,100,1.55,RU,1643067447
14,Butaritari,3.0707,172.7902,80.33,79,97,7.12,KI,1643067448
15,Makakilo City,21.3469,-158.0858,78.53,51,0,4.63,US,1643067450
16,Bredasdorp,-34.5322,20.0403,67.73,89,20,3.03,ZA,1643067451
17,Imeni Poliny Osipenko,52.4201,136.4853,-20.47,100,97,1.62,RU,1643067453
18,Fairbanks,64.8378,-147.7164,40.73,69,40,1.54,US,1643067454
19,Kristinestad,62.2743,21.376,31.73,70,46,9.37,FI,1643067456
20,Tiksi,71.6872,128.8694,-7.87,97,100,3.94,RU,1643067225
21,Kapaa,22.0752,-159.319,78.53,61,40,1.34,US,1643067459
22,Champerico,14.3,-91.9167,89.33,65,4,2.22,GT,1643067460
23,Vestmannaeyjar,63.4427,-20.2734,40.73,95,100,16.2,IS,1643067462
24,Bengkulu,-3.8004,102.2655,74.93,86,64,1.67,ID,1643067463
25,Vaini,-21.2,-175.2,85.73,84,20,4.63,TO,1643067465
26,Pacific Grove,36.6177,-121.9166,65.93,74,0,1.34,US,1643067207
27,Mahébourg,-20.4081,57.7,76.73,65,20,4.63,MU,1643067468
28,Hong Kong,22.2855,114.1577,65.93,89,100,2.24,HK,1643067469
29,Albany,42.6001,-73.9662,24.53,62,83,0.84,US,1643066714
30,Bandarbeyla,9.4942,50.8122,73.13,68,16,9.79,SO,1643067475
31,Carnarvon,-24.8667,113.6333,78.53,69,0,5.66,AU,1643067477
32,Cidreira,-30.1811,-50.2056,74.93,91,12,6.1,BR,1643067478
33,Prince Rupert,54.3161,-130.3201,38.93,96,90,0.0,CA,1643067480
34,Punta Arenas,-53.15,-70.9167,51.53,58,0,17.49,CL,1643067481
35,Mataura,-46.1927,168.8643,56.93,50,71,2.22,NZ,1643067483
36,Puerto Ayora,-0.7393,-90.3518,73.13,89,86,4.87,EC,1643067485
37,Arraial do Cabo,-22.9661,-42.0278,76.73,83,0,7.2,BR,1643067486
38,Plainview,40.7765,-73.4673,31.73,74,1,0.89,US,1643067488
39,Dikson,73.5069,80.5464,8.33,83,100,15.7,RU,1643067489
40,Akdepe,42.0551,59.3788,17.33,81,5,4.03,TM,1643067491
41,Tasiilaq,65.6145,-37.6368,26.33,89,100,3.92,GL,1643067492
42,Hithadhoo,-0.6,73.0833,80.33,75,91,7.76,MV,1643067494
43,Chokurdakh,70.6333,147.9167,-22.27,99,99,2.45,RU,1643067223
44,Bethel,41.3712,-73.414,29.93,73,88,2.05,US,1643067497
45,Laas,46.6166,10.7002,37.13,67,5,2.52,IT,1643067498
46,Torbay,47.6666,-52.7314,31.73,96,100,16.98,CA,1643067500
47,Busselton,-33.65,115.3333,64.13,63,34,6.95,AU,1643067501
48,The Valley,18.217,-63.0578,78.53,73,75,4.63,AI,1643067503
49,Jamestown,42.097,-79.2353,20.93,68,100,1.34,US,1643067504
50,La Sarre,48.8002,-79.1996,1.13,96,100,3.0,CA,1643067506
51,Starosubkhangulovo,53.1031,57.4423,1.13,97,99,0.38,RU,1643067507
52,Merauke,-8.4667,140.3333,80.33,84,100,3.92,ID,1643067509
53,Longyearbyen,78.2186,15.6401,22.73,74,40,9.77,SJ,1643067510
54,Cabo San Lucas,22.8909,-109.9124,73.13,51,0,1.34,MX,1643067512
55,Avera,33.194,-82.5271,53.33,63,46,3.07,US,1643067513
56,New Norfolk,-42.7826,147.0587,69.53,51,74,1.19,AU,1643067515
57,Port Alfred,-33.5906,26.891,69.53,85,51,6.53,ZA,1643067517
58,Finschhafen,-6.6024,147.8681,83.93,71,98,1.11,PG,1643067518
59,Vadlapūdi,14.3167,79.8,71.33,85,0,0.73,IN,1643067520
60,Aykhal,66.0,111.5,-16.87,100,100,2.0,RU,1643067521
61,Ciudad Guayana,8.3533,-62.6528,78.53,66,100,3.64,VE,1643067523
62,Puerto Carreño,6.189,-67.4859,89.33,51,40,3.6,CO,1643067525
63,Muzhi,65.3667,64.6667,-6.07,99,39,3.43,RU,1643067526
64,Chui,-33.6971,-53.4616,73.13,89,66,3.82,UY,1643067528
65,Thompson,55.7435,-97.8558,-18.67,69,0,3.6,CA,1643067529
66,Souillac,-20.5167,57.5167,76.73,65,20,4.63,MU,1643067531
67,Lorengau,-2.0226,147.2712,83.93,72,70,4.0,PG,1643067533
68,Vila,42.0304,-8.1588,35.33,86,0,1.61,PT,1643067534
69,Chapais,49.7834,-74.8492,-6.07,98,100,1.15,CA,1643067535
70,Staraya Russa,57.9944,31.3608,22.73,93,100,5.1,RU,1643067537
71,Changde,29.0464,111.6783,35.33,97,100,1.31,CN,1643067538
72,Garh Maharaja,30.8339,71.9053,49.73,67,0,2.15,PK,1643067540
73,eMkhomazi,-30.2067,30.7978,73.13,89,5,4.96,ZA,1643067541
74,Kuching,1.55,110.3333,74.93,94,40,1.54,MY,1643067543
75,Sechura,-5.5569,-80.8222,74.93,68,99,7.03,PE,1643067544
76,Roald,62.5833,6.1333,38.93,65,100,7.72,NO,1643067546
